personID:ID(Person),roadUser,gender,age,ageGroup,:LABEL
953,Driver,Male,61,40_to_64,Person
958,Driver,Female,65,65_to_74,Person
961,Driver,Male,54,40_to_64,Person
963,Driver,Female,80,75_or_older,Person
966,Driver,Male,20,17_to_25,Person
967,Driver,Male,74,65_to_74,Person
969,Driver,Female,90,75_or_older,Person
972,Pedestrian,Male,65,65_to_74,Person
974,Driver,Male,65,65_to_74,Person
976,Motorcycle rider,Male,61,40_to_64,Person
977,Driver,Male,48,40_to_64,Person
979,Pedestrian,Female,49,40_to_64,Person
