:START_ID(Crash),:END_ID(LGA),:TYPE
245,Snowy Monaro,OCCURRED_IN_LGA
246,Warrumbungle,OCCURRED_IN_LGA
247,Lachlan,OCCURRED_IN_LGA
248,Waverley,OCCURRED_IN_LGA
249,Mid-Coast,OCCURRED_IN_LGA
250,Gunnedah,OCCURRED_IN_LGA
251,Singleton,OCCURRED_IN_LGA
252,Port Macquarie-Hastings,OCCURRED_IN_LGA
253,Randwick,OCCURRED_IN_LGA
254,Armidale,OCCURRED_IN_LGA
255,Campbelltown (NSW),OCCURRED_IN_LGA
256,Cowra,OCCURRED_IN_LGA
257,Gilgandra,OCCURRED_IN_LGA
258,Fairfield,OCCURRED_IN_LGA
259,Liverpool,OCCURRED_IN_LGA
260,Cessnock,OCCURRED_IN_LGA
261,Wollongong,OCCURRED_IN_LGA
262,Wollongong,OCCURRED_IN_LGA
263,Tweed,OCCURRED_IN_LGA
264,Northern Beaches,OCCURRED_IN_LGA
265,Ballina,OCCURRED_IN_LGA
266,Warrumbungle,OCCURRED_IN_LGA
267,Armidale,OCCURRED_IN_LGA
268,Snowy Valleys,OCCURRED_IN_LGA
269,Hilltops,OCCURRED_IN_LGA
270,Inverell,OCCURRED_IN_LGA
271,Hawkesbury,OCCURRED_IN_LGA
272,Dubbo,OCCURRED_IN_LGA
273,Yass Valley,OCCURRED_IN_LGA
274,Central Coast (NSW),OCCURRED_IN_LGA
275,Narrabri,OCCURRED_IN_LGA
276,Ryde,OCCURRED_IN_LGA
277,Hilltops,OCCURRED_IN_LGA
278,Tenterfield,OCCURRED_IN_LGA
279,Cowra,OCCURRED_IN_LGA
280,Penrith,OCCURRED_IN_LGA
281,Kiama,OCCURRED_IN_LGA
282,Central Coast (NSW),OCCURRED_IN_LGA
283,Canterbury-Bankstown,OCCURRED_IN_LGA
284,Parramatta,OCCURRED_IN_LGA
285,Coffs Harbour,OCCURRED_IN_LGA
286,Liverpool,OCCURRED_IN_LGA
287,Wollongong,OCCURRED_IN_LGA
288,Cowra,OCCURRED_IN_LGA
289,Hay,OCCURRED_IN_LGA
290,Hawkesbury,OCCURRED_IN_LGA
291,Mid-Coast,OCCURRED_IN_LGA
292,Shellharbour,OCCURRED_IN_LGA
293,Fairfield,OCCURRED_IN_LGA
294,Ryde,OCCURRED_IN_LGA
295,Murray River,OCCURRED_IN_LGA
296,Clarence Valley,OCCURRED_IN_LGA
297,Clarence Valley,OCCURRED_IN_LGA
298,Wollondilly,OCCURRED_IN_LGA
299,Cessnock,OCCURRED_IN_LGA
300,Blayney,OCCURRED_IN_LGA
301,Hilltops,OCCURRED_IN_LGA
302,Sydney,OCCURRED_IN_LGA
303,Gilgandra,OCCURRED_IN_LGA
304,Wollongong,OCCURRED_IN_LGA
305,Shoalhaven,OCCURRED_IN_LGA
306,Central Coast (NSW),OCCURRED_IN_LGA
