:START_ID(Crash),:END_ID(SA4),:TYPE
236,Murray,OCCURRED_IN_SA4
237,Richmond - Tweed,OCCURRED_IN_SA4
238,Sydney - Ryde,OCCURRED_IN_SA4
239,Capital Region,OCCURRED_IN_SA4
240,Coffs Harbour - Grafton,OCCURRED_IN_SA4
241,Southern Highlands and Shoalhaven,OCCURRED_IN_SA4
242,Murray,OCCURRED_IN_SA4
243,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
244,Central West,OCCURRED_IN_SA4
245,Capital Region,OCCURRED_IN_SA4
246,Far West and Orana,OCCURRED_IN_SA4
247,Central West,OCCURRED_IN_SA4
248,Sydney - Eastern Suburbs,OCCURRED_IN_SA4
249,Mid North Coast,OCCURRED_IN_SA4
250,New England and North West,OCCURRED_IN_SA4
251,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
252,Mid North Coast,OCCURRED_IN_SA4
253,Sydney - Eastern Suburbs,OCCURRED_IN_SA4
254,New England and North West,OCCURRED_IN_SA4
255,Sydney - Outer South West,OCCURRED_IN_SA4
256,Central West,OCCURRED_IN_SA4
257,Far West and Orana,OCCURRED_IN_SA4
258,Sydney - South West,OCCURRED_IN_SA4
259,Sydney - South West,OCCURRED_IN_SA4
260,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
261,Illawarra,OCCURRED_IN_SA4
262,Illawarra,OCCURRED_IN_SA4
263,Richmond - Tweed,OCCURRED_IN_SA4
264,Sydney - Northern Beaches,OCCURRED_IN_SA4
265,Richmond - Tweed,OCCURRED_IN_SA4
266,Far West and Orana,OCCURRED_IN_SA4
267,New England and North West,OCCURRED_IN_SA4
268,Riverina,OCCURRED_IN_SA4
269,Capital Region,OCCURRED_IN_SA4
270,New England and North West,OCCURRED_IN_SA4
271,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
272,Far West and Orana,OCCURRED_IN_SA4
273,Capital Region,OCCURRED_IN_SA4
274,Central Coast,OCCURRED_IN_SA4
275,New England and North West,OCCURRED_IN_SA4
276,Sydney - Ryde,OCCURRED_IN_SA4
277,Capital Region,OCCURRED_IN_SA4
278,New England and North West,OCCURRED_IN_SA4
279,Central West,OCCURRED_IN_SA4
280,Sydney - South West,OCCURRED_IN_SA4
281,Illawarra,OCCURRED_IN_SA4
282,Central Coast,OCCURRED_IN_SA4
283,Sydney - Inner South West,OCCURRED_IN_SA4
284,Sydney - Parramatta,OCCURRED_IN_SA4
285,Coffs Harbour - Grafton,OCCURRED_IN_SA4
286,Sydney - South West,OCCURRED_IN_SA4
287,Illawarra,OCCURRED_IN_SA4
288,Central West,OCCURRED_IN_SA4
289,Murray,OCCURRED_IN_SA4
290,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
291,Mid North Coast,OCCURRED_IN_SA4
292,Illawarra,OCCURRED_IN_SA4
293,Sydney - South West,OCCURRED_IN_SA4
294,Sydney - Ryde,OCCURRED_IN_SA4
295,Murray,OCCURRED_IN_SA4
296,Coffs Harbour - Grafton,OCCURRED_IN_SA4
297,Coffs Harbour - Grafton,OCCURRED_IN_SA4
298,Sydney - Outer South West,OCCURRED_IN_SA4
299,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
300,Central West,OCCURRED_IN_SA4
301,Capital Region,OCCURRED_IN_SA4
302,Sydney - City and Inner South,OCCURRED_IN_SA4
303,Far West and Orana,OCCURRED_IN_SA4
304,Illawarra,OCCURRED_IN_SA4
305,Southern Highlands and Shoalhaven,OCCURRED_IN_SA4
306,Central Coast,OCCURRED_IN_SA4
