personID:ID(Person),roadUser,gender,age,ageGroup,:LABEL
1691,Driver,Female,52,40_to_64,Person
1692,Passenger,Female,29,26_to_39,Person
1693,Driver,Male,63,40_to_64,Person
1694,Pedestrian,Male,69,65_to_74,Person
1695,Driver,Male,69,65_to_74,Person
1696,Motorcycle rider,Male,70,65_to_74,Person
1697,Pedestrian,Female,73,65_to_74,Person
1698,Motorcycle rider,Male,50,40_to_64,Person
1699,Motorcycle rider,Male,21,17_to_25,Person
1700,Passenger,Female,27,26_to_39,Person
1701,Passenger,Male,25,17_to_25,Person
1702,Passenger,Female,30,26_to_39,Person
1703,Driver,Female,62,40_to_64,Person
1704,Passenger,Female,23,17_to_25,Person
1705,Driver,Male,22,17_to_25,Person
1706,Pedestrian,Male,45,40_to_64,Person
1707,Pedestrian,Female,66,65_to_74,Person
1708,Pedestrian,Male,52,40_to_64,Person
1709,Pedestrian,Female,32,26_to_39,Person
1710,Driver,Male,34,26_to_39,Person
1711,Motorcycle rider,Male,30,26_to_39,Person
1712,Pedal cyclist,Male,41,40_to_64,Person
1713,Motorcycle rider,Male,19,17_to_25,Person
1714,Motorcycle rider,Male,27,26_to_39,Person
1715,Passenger,Male,13,0_to_16,Person
1716,Driver,Female,36,26_to_39,Person
1717,Passenger,Male,11,0_to_16,Person
1718,Passenger,Male,12,0_to_16,Person
1719,Pedestrian,Male,47,40_to_64,Person
1720,Passenger,Female,81,75_or_older,Person
1721,Driver,Male,40,40_to_64,Person
1722,Motorcycle rider,Male,82,75_or_older,Person
1723,Pedestrian,Male,86,75_or_older,Person
1724,Driver,Female,45,40_to_64,Person
1725,Driver,Male,58,40_to_64,Person
1726,Pedestrian,Male,38,26_to_39,Person
1727,Driver,Male,46,40_to_64,Person
1728,Pedestrian,Male,23,17_to_25,Person
1729,Driver,Male,25,17_to_25,Person
1730,Driver,Male,75,75_or_older,Person
1731,Motorcycle rider,Male,23,17_to_25,Person
1732,Driver,Female,88,75_or_older,Person
1733,Motorcycle rider,Male,57,40_to_64,Person
1734,Motorcycle rider,Male,66,65_to_74,Person
1735,Motorcycle rider,Male,61,40_to_64,Person
1736,Passenger,Male,87,75_or_older,Person
1737,Motorcycle rider,Male,20,17_to_25,Person
1738,Motorcycle rider,Male,59,40_to_64,Person
1739,Pedestrian,Female,63,40_to_64,Person
1740,Motorcycle rider,Male,28,26_to_39,Person
1741,Motorcycle rider,Male,33,26_to_39,Person
1742,Driver,Male,28,26_to_39,Person
1743,Driver,Female,29,26_to_39,Person
1744,Driver,Female,70,65_to_74,Person
1745,Driver,Male,45,40_to_64,Person
1746,Driver,Female,34,26_to_39,Person
1747,Passenger,Male,2,0_to_16,Person
1748,Passenger,Female,0,0_to_16,Person
1749,Driver,Male,37,26_to_39,Person
1750,Driver,Male,53,40_to_64,Person
1751,Passenger,Male,94,75_or_older,Person
1752,Pedestrian,Female,49,40_to_64,Person
1753,Pedestrian,Male,77,75_or_older,Person
1754,Motorcycle rider,Male,37,26_to_39,Person
1755,Passenger,Female,51,40_to_64,Person
1756,Driver,Female,20,17_to_25,Person
1757,Pedestrian,Male,51,40_to_64,Person
1758,Driver,Male,19,17_to_25,Person
1759,Pedestrian,Female,56,40_to_64,Person
1760,Driver,Male,15,0_to_16,Person
1761,Motorcycle rider,Male,50,40_to_64,Person
1762,Driver,Female,87,75_or_older,Person
1763,Passenger,Male,90,75_or_older,Person
1764,Motorcycle rider,Male,45,40_to_64,Person
1765,Motorcycle rider,Male,33,26_to_39,Person
1766,Motorcycle rider,Male,36,26_to_39,Person
1767,Driver,Male,25,17_to_25,Person
1768,Motorcycle rider,Male,17,17_to_25,Person
1769,Passenger,Male,14,0_to_16,Person
1770,Passenger,Female,11,0_to_16,Person
1771,Driver,Male,43,40_to_64,Person
1772,Driver,Female,40,40_to_64,Person
1773,Driver,Male,91,75_or_older,Person
1774,Motorcycle rider,Male,22,17_to_25,Person
1775,Driver,Male,87,75_or_older,Person
1776,Driver,Male,20,17_to_25,Person
1777,Driver,Male,85,75_or_older,Person
1778,Motorcycle rider,Male,69,65_to_74,Person
1779,Passenger,Female,3,0_to_16,Person
1780,Driver,Male,86,75_or_older,Person
1781,Driver,Female,81,75_or_older,Person
1782,Driver,Female,86,75_or_older,Person
1783,Passenger,Female,28,26_to_39,Person
1784,Driver,Female,74,65_to_74,Person
1785,Pedestrian,Male,61,40_to_64,Person
1786,Driver,Male,21,17_to_25,Person
1787,Passenger,Male,20,17_to_25,Person
1788,Pedestrian,Male,51,40_to_64,Person
1789,Pedestrian,Male,25,17_to_25,Person
1790,Passenger,Female,26,26_to_39,Person
1791,Driver,Male,20,17_to_25,Person
1792,Driver,Male,74,65_to_74,Person
1793,Motorcycle rider,Male,19,17_to_25,Person
1794,Driver,Female,24,17_to_25,Person
1795,Driver,Female,31,26_to_39,Person
1796,Driver,Male,65,65_to_74,Person
1797,Driver,Male,50,40_to_64,Person
1798,Driver,Male,58,40_to_64,Person
1799,Motorcycle rider,Male,43,40_to_64,Person
1800,Motorcycle rider,Male,24,17_to_25,Person
1801,Pedestrian,Female,55,40_to_64,Person
1802,Driver,Male,22,17_to_25,Person
1803,Pedal cyclist,Male,57,40_to_64,Person
1804,Pedal cyclist,Male,18,17_to_25,Person
1805,Driver,Male,68,65_to_74,Person
1806,Driver,Female,37,26_to_39,Person
1807,Driver,Male,35,26_to_39,Person
1808,Pedestrian,Male,82,75_or_older,Person
1809,Driver,Male,39,26_to_39,Person
1810,Pedestrian,Male,83,75_or_older,Person
1811,Motorcycle rider,Male,38,26_to_39,Person
1812,Driver,Male,92,75_or_older,Person
1813,Driver,Male,84,75_or_older,Person
1814,Driver,Male,22,17_to_25,Person
1815,Pedestrian,Female,45,40_to_64,Person
1816,Driver,Male,52,40_to_64,Person
1817,Driver,Male,48,40_to_64,Person
1818,Driver,Male,27,26_to_39,Person
1819,Pedestrian,Male,73,65_to_74,Person
1820,Driver,Male,80,75_or_older,Person
1821,Passenger,Female,48,40_to_64,Person
1822,Driver,Male,49,40_to_64,Person
1823,Driver,Male,17,17_to_25,Person
1824,Driver,Male,32,26_to_39,Person
1825,Driver,Female,53,40_to_64,Person
1826,Driver,Female,45,40_to_64,Person
1827,Passenger,Male,90,75_or_older,Person
1828,Pedestrian,Female,85,75_or_older,Person
1829,Driver,Male,51,40_to_64,Person
1830,Driver,Female,80,75_or_older,Person
1831,Driver,Male,52,40_to_64,Person
1832,Passenger,Male,19,17_to_25,Person
1833,Driver,Male,33,26_to_39,Person
1834,Driver,Male,58,40_to_64,Person
1835,Driver,Female,68,65_to_74,Person
1836,Pedal cyclist,Male,57,40_to_64,Person
1837,Motorcycle rider,Male,31,26_to_39,Person
1838,Driver,Female,31,26_to_39,Person
1839,Passenger,Female,91,75_or_older,Person
1840,Driver,Male,48,40_to_64,Person
1841,Passenger,Male,89,75_or_older,Person
1842,Driver,Male,20,17_to_25,Person
1843,Motorcycle rider,Male,44,40_to_64,Person
1844,Driver,Male,20,17_to_25,Person
1845,Driver,Female,32,26_to_39,Person
1846,Passenger,Male,33,26_to_39,Person
1847,Motorcycle rider,Male,29,26_to_39,Person
1848,Passenger,Female,19,17_to_25,Person
1849,Driver,Male,84,75_or_older,Person
1850,Driver,Male,33,26_to_39,Person
1851,Motorcycle rider,Male,28,26_to_39,Person
1852,Motorcycle rider,Male,69,65_to_74,Person
1853,Motorcycle rider,Male,65,65_to_74,Person
1854,Driver,Male,63,40_to_64,Person
1855,Motorcycle rider,Male,30,26_to_39,Person
1856,Pedestrian,Male,64,40_to_64,Person
1857,Pedestrian,Male,29,26_to_39,Person
1858,Driver,Male,28,26_to_39,Person
1859,Motorcycle rider,Male,46,40_to_64,Person
1860,Motorcycle rider,Male,37,26_to_39,Person
1861,Driver,Male,39,26_to_39,Person
1862,Pedal cyclist,Male,22,17_to_25,Person
1863,Driver,Female,85,75_or_older,Person
1864,Driver,Female,79,75_or_older,Person
1865,Driver,Male,59,40_to_64,Person
1866,Driver,Female,31,26_to_39,Person
1867,Motorcycle rider,Male,72,65_to_74,Person
1868,Motorcycle rider,Male,83,75_or_older,Person
1869,Driver,Male,76,75_or_older,Person
1870,Driver,Male,58,40_to_64,Person
1871,Driver,Male,27,26_to_39,Person
1872,Driver,Male,34,26_to_39,Person
1873,Driver,Male,24,17_to_25,Person
1874,Driver,Male,76,75_or_older,Person
1875,Passenger,Female,71,65_to_74,Person
1876,Pedestrian,Female,99,75_or_older,Person
1877,Driver,Male,68,65_to_74,Person
1878,Passenger,Female,74,65_to_74,Person
1879,Driver,Male,47,40_to_64,Person
1880,Pedestrian,Male,73,65_to_74,Person
1881,Driver,Male,28,26_to_39,Person
1882,Pedestrian,Male,14,0_to_16,Person
1883,Motorcycle rider,Male,71,65_to_74,Person
1884,Driver,Male,20,17_to_25,Person
