:START_ID(Crash),:END_ID(SA4),:TYPE
178,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
179,Logan - Beaudesert,OCCURRED_IN_SA4
180,Ipswich,OCCURRED_IN_SA4
181,Townsville,OCCURRED_IN_SA4
182,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
183,Logan - Beaudesert,OCCURRED_IN_SA4
184,Illawarra,OCCURRED_IN_SA4
185,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
186,Adelaide - North,OCCURRED_IN_SA4
187,Far West and Orana,OCCURRED_IN_SA4
188,Wide Bay,OCCURRED_IN_SA4
189,North West,OCCURRED_IN_SA4
190,Ipswich,OCCURRED_IN_SA4
191,Sydney - Outer South West,OCCURRED_IN_SA4
192,Adelaide - Central and Hills,OCCURRED_IN_SA4
193,Capital Region,OCCURRED_IN_SA4
194,Adelaide - North,OCCURRED_IN_SA4
195,Moreton Bay - North,OCCURRED_IN_SA4
196,South Australia - South East,OCCURRED_IN_SA4
197,Illawarra,OCCURRED_IN_SA4
198,Moreton Bay - North,OCCURRED_IN_SA4
199,Warrnambool and South West,OCCURRED_IN_SA4
200,Sydney - Outer South West,OCCURRED_IN_SA4
201,Mid North Coast,OCCURRED_IN_SA4
202,Ipswich,OCCURRED_IN_SA4
203,Melbourne - South East,OCCURRED_IN_SA4
204,Central Queensland,OCCURRED_IN_SA4
205,Barossa - Yorke - Mid North,OCCURRED_IN_SA4
206,Cairns,OCCURRED_IN_SA4
207,Sydney - City and Inner South,OCCURRED_IN_SA4
208,Hume,OCCURRED_IN_SA4
209,Illawarra,OCCURRED_IN_SA4
210,Adelaide - West,OCCURRED_IN_SA4
211,Murray,OCCURRED_IN_SA4
212,Gold Coast,OCCURRED_IN_SA4
213,Melbourne - Inner East,OCCURRED_IN_SA4
214,Brisbane - East,OCCURRED_IN_SA4
215,Australian Capital Territory,OCCURRED_IN_SA4
216,Adelaide - North,OCCURRED_IN_SA4
217,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
218,Latrobe - Gippsland,OCCURRED_IN_SA4
219,Townsville,OCCURRED_IN_SA4
220,Melbourne - Inner East,OCCURRED_IN_SA4
221,Wide Bay,OCCURRED_IN_SA4
222,Melbourne - Outer East,OCCURRED_IN_SA4
223,Warrnambool and South West,OCCURRED_IN_SA4
224,Capital Region,OCCURRED_IN_SA4
225,Geelong,OCCURRED_IN_SA4
226,Adelaide - Central and Hills,OCCURRED_IN_SA4
227,Brisbane - East,OCCURRED_IN_SA4
228,Wide Bay,OCCURRED_IN_SA4
229,Gold Coast,OCCURRED_IN_SA4
230,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
231,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
232,Murray,OCCURRED_IN_SA4
233,Hobart,OCCURRED_IN_SA4
234,Adelaide - South,OCCURRED_IN_SA4
235,Coffs Harbour - Grafton,OCCURRED_IN_SA4
